match id,entity,subj,count,positive,negative,neutral,positive_
473272,Pinto,Ivo Pinto,8,2.25,3,5,0
473612,Arne Slot,Arne Slot,8,3.25,0,7,1
473272,Lonwijk,Nigel Lonwijk,8,1.625,5,3,0
473619,Noppert,Andries Noppert,8,2.375,4,3,1
473560,drie,Michael de Leeuw,8,2.5,4,2,2
473621,PSV Ajax,Ajax,8,1.25,7,1,0
473612,Schne,Lasse Schoene,7,1.5714285714285714,6,0,1
473638,eerste,Aaron Meijers,7,1.7142857142857142,3,4,0
473579,Jacobs,Jamie Jacobs,7,1.5714285714285714,6,0,1
473579,Joosten,Patrick Joosten,7,2.4285714285714284,4,1,2
473582,Johnny,Johnny Jansen,7,3.0,2,3,2
473272,Stadions,Stijn Hogervorst,7,2.7142857142857144,3,2,2
473590,eerste,Godfried Roemeratoe,7,2.5714285714285716,3,3,1
473619,Andries Noppert,Andries Noppert,7,3.7142857142857144,2,1,4
473579,azalkmaar,AZ Alkmaar,7,1.8571428571428572,5,1,1
473621,Martinez,Lisandro Martinez,7,1.2857142857142858,6,1,0
473590,GOOOOAAAAALLL     Sadilek,Michal Sadilek,7,1.0,7,0,0
473560,Wierik,Mike te Wierik,7,1.2857142857142858,6,1,0
473638,Boussaid,Othman Boussaid,7,4.857142857142857,0,1,6
473612,Japanse Feyenoorder,Feyenoord,7,3.4285714285714284,2,2,3
473621,Ajax,Ajax,7,1.8571428571428572,5,1,1
473612,Feyenoord Rotterdam,Feyenoord,7,4.714285714285714,0,1,6
473272,Ferati,Arianit Ferati,7,2.2857142857142856,3,4,0
473560,provincie Groningen,FC Groningen,7,1.0,7,0,0
473619,Frank Wormuth,Frank Wormuth,6,3.3333333333333335,0,6,0
473619,Delano Burgzorg,Delano Burgzorg,6,2.6666666666666665,2,4,0
473590,Michal Sadlek,Michal Sadilek,6,4.0,1,1,4
473560,Michael de Leeuw,Michael de Leeuw,6,1.3333333333333333,5,1,0
473590,Sadlek,Michal Sadilek,6,1.0,6,0,0
473579,Beukema,Sam Beukema,6,3.1666666666666665,1,4,1
473590,Daan,Daan Rots,6,2.8333333333333335,2,2,2
473621,Eindhoven,PSV Eindhoven,6,2.5,3,2,1
473582,Veerman,Henk Veerman,6,2.0,4,2,0
473590,Gijs,Gijs Smal,6,1.8333333333333333,3,3,0
473582,Dick Schreuder,Dick Schreuder,6,1.6666666666666667,5,0,1
473560,Dankerlui,Damil Dankerlui,6,2.0,3,3,0
473560,Peter Leeuwenburgh,Peter Leeuwenburgh,6,1.5,5,1,0
473612,NEC Nijmegen   Feyenoord,NEC Nijmegen,6,4.0,0,6,0
473590,Michal Sadilek,Michal Sadilek,6,2.3333333333333335,3,2,1
473560,Buijs,Danny Buijs,6,1.6666666666666667,5,0,1
473612,Dessers,Cyriel Dessers,6,1.5,5,1,0
473590,week,Freek Heerkens,6,2.5,3,3,0
473638,Sylla,Moussa Sylla,6,3.3333333333333335,2,1,3
473612,Feyenoord   ,Feyenoord,6,3.1666666666666665,2,2,2
473612,Lasse Schne,Lasse Schoene,6,1.6666666666666667,4,2,0
473638,Utrechter,FC Utrecht,6,3.0,3,0,3
473579,AZ Cambuur,Cambuur,5,1.0,5,0,0
473612,Aursnes,Fredrik Aursnes,5,1.8,3,2,0
473582,Mous,Xavier Mous,5,1.0,5,0,0
473582,Dresevic,Ibrahim Dresevic,5,3.0,2,2,1
473590,Hilgers,Mees Hilgers,5,4.2,1,0,4
473272,Kramer,Michiel Kramer,5,1.2,4,1,0
473579,Eerste,Ernest Poku,5,1.8,4,0,1
473612,Rijnmond,Ramon Hendriks,5,2.6,2,2,1
473560,Leeuwenburg,Peter Leeuwenburgh,5,3.0,1,4,0
